#varName,value,valType,valUnits,valDesc
#q,d,q,q,q
#,#,#,#,#
#importing group,#constant value,#datatype ID for the constant,#units for the constant,#description for the constant
#Standard unit converions,#,#,#,#
conv.ft2in,12,d,,
conv.in2cm,2.54,d,,
conv.m2in,39.3700787,d,,
conv.ft2m,3.2808399,d,,
conv.sec2min,60,d,,
